Belgium,"Research and development as percentage of GDP, most recent value",2.49
Benin,"Number of researchers working in R & D per million, most recent value",N/A
Benin,"GINI coefficient, most recent value",47.8
Benin,Life expectancy from birth (WB),60.91
Benin,"Mortality rate per live 1000 births, most recent value",63.5
Benin,"GDP per capita in PPP, international current dollars (World Bank)",2271.68
Benin,"Research and development as percentage of GDP, most recent value",N/A
Bolivia,"Mortality rate per live 1000 births, most recent value",28
Bolivia,"GINI coefficient, most recent value",44.6
Bolivia,Life expectancy from birth (WB),69.13
Bolivia,"Number of researchers working in R & D per million, most recent value",165.95
Bolivia,"GDP per capita in PPP, international current dollars (World Bank)",7559.64
Bolivia,"Research and development as percentage of GDP, most recent value",0.16
Bosnia Herzegovina,"Mortality rate per live 1000 births, most recent value",4.9
Bosnia Herzegovina,"GINI coefficient, most recent value",32.7
Bosnia Herzegovina,Life expectancy from birth (WB),76.91
Bosnia Herzegovina,"Number of researchers working in R & D per million, most recent value",404.4
Bosnia Herzegovina,"GDP per capita in PPP, international current dollars (World Bank)",13107.72
Bosnia Herzegovina,"Research and development as percentage of GDP, most recent value",0.22
Botswana,"Mortality rate per live 1000 births, most recent value",30.8
Botswana,"GINI coefficient, most recent value",60.5
Botswana,Life expectancy from birth (WB),66.8
Botswana,"Number of researchers working in R & D per million, most recent value",179.47
Botswana,"GDP per capita in PPP, international current dollars (World Bank)",16988.12
Botswana,"Research and development as percentage of GDP, most recent value",0.54
Brazil,"Mortality rate per live 1000 births, most recent value",13.2
Brazil,"GINI coefficient, most recent value",51.3
Brazil,Life expectancy from birth (WB),75.51
Brazil,"Number of researchers working in R & D per million, most recent value",900.3
Brazil,"GDP per capita in PPP, international current dollars (World Bank)",15483.54
Brazil,"Research and development as percentage of GDP, most recent value",1.28
Bulgaria,"Mortality rate per live 1000 births, most recent value",6.3
Bulgaria,"GINI coefficient, most recent value",37.4
Bulgaria,Life expectancy from birth (WB),74.61
Bulgaria,"Number of researchers working in R & D per million, most recent value",2243.71
Bulgaria,"GDP per capita in PPP, international current dollars (World Bank)",20947.99
Bulgaria,"Research and development as percentage of GDP, most recent value",0.78
Burkina Faso,"GINI coefficient, most recent value",35.3
Burkina Faso,"Number of researchers working in R & D per million, most recent value",47.58
Burkina Faso,"Mortality rate per live 1000 births, most recent value",51.2
Burkina Faso,Life expectancy from birth (WB),60.36
Burkina Faso,"GDP per capita in PPP, international current dollars (World Bank)",1862.21
Burkina Faso,"Research and development as percentage of GDP, most recent value",0.22
Burundi,"Number of researchers working in R & D per million, most recent value",N/A
Burundi,"GINI coefficient, most recent value",38.6
Burundi,"Mortality rate per live 1000 births, most recent value",42.5
Burundi,Life expectancy from birth (WB),57.48
Burundi,"GDP per capita in PPP, international current dollars (World Bank)",733.89
Burundi,"Research and development as percentage of GDP, most recent value",N/A
Cambodia,"GINI coefficient, most recent value",N/A
Cambodia,"Mortality rate per live 1000 births, most recent value",25.1
Cambodia,"Number of researchers working in R & D per million, most recent value",30.37
Cambodia,Life expectancy from birth (WB),68.98
Cambodia,"GDP per capita in PPP, international current dollars (World Bank)",4009.06
Cambodia,"Research and development as percentage of GDP, most recent value",0.12
Cameroon,"Number of researchers working in R & D per million, most recent value",N/A
Cameroon,"GINI coefficient, most recent value",46.6
Cameroon,"Mortality rate per live 1000 births, most recent value",55.1
Cameroon,Life expectancy from birth (WB),58.07
Cameroon,"GDP per capita in PPP, international current dollars (World Bank)",3714.55
Cameroon,"Research and development as percentage of GDP, most recent value",N/A
Canada,"Mortality rate per live 1000 births, most recent value",4.5
Canada,"GINI coefficient, most recent value",34
Canada,Life expectancy from birth (WB),82.3
Canada,"Number of researchers working in R & D per million, most recent value",4552.49
Canada,"GDP per capita in PPP, international current dollars (World Bank)",46704.89
Canada,"Research and development as percentage of GDP, most recent value",1.61
Chad,"GINI coefficient, most recent value",43.3
Chad,Life expectancy from birth (WB),52.9
Chad,"Number of researchers working in R & D per million, most recent value",58.33
Chad,"Mortality rate per live 1000 births, most recent value",73.4
Chad,"GDP per capita in PPP, international current dollars (World Bank)",1941.18
Chad,"Research and development as percentage of GDP, most recent value",0.32
Chile,"Mortality rate per live 1000 births, most recent value",6.3
Chile,"GINI coefficient, most recent value",47.7
Chile,Life expectancy from birth (WB),79.52
Chile,"Number of researchers working in R & D per million, most recent value",502.1
Chile,"GDP per capita in PPP, international current dollars (World Bank)",24634.97
Chile,"Research and development as percentage of GDP, most recent value",0.37
China,"Mortality rate per live 1000 births, most recent value",8
China,"GINI coefficient, most recent value",42.2
China,Life expectancy from birth (WB),76.25
China,"Number of researchers working in R & D per million, most recent value",1205.68
China,"GDP per capita in PPP, international current dollars (World Bank)",16806.74
China,"Research and development as percentage of GDP, most recent value",2.11
Colombia,"Mortality rate per live 1000 births, most recent value",12.7
Colombia,"GINI coefficient, most recent value",50.8
Colombia,Life expectancy from birth (WB),74.38
Colombia,"Number of researchers working in R & D per million, most recent value",131.96
Colombia,"GDP per capita in PPP, international current dollars (World Bank)",14472.61
Colombia,"Research and development as percentage of GDP, most recent value",0.27
Comoros,"Number of researchers working in R & D per million, most recent value",N/A
Comoros,"GINI coefficient, most recent value",45.3
Comoros,"Mortality rate per live 1000 births, most recent value",52.2
Comoros,Life expectancy from birth (WB),63.7
Comoros,"GDP per capita in PPP, international current dollars (World Bank)",2745.19
Comoros,"Research and development as percentage of GDP, most recent value",N/A
"Congo, Rep.","Number of researchers working in R & D per million, most recent value",31.54
"Congo, Rep.","Mortality rate per live 1000 births, most recent value",34.7
"Congo, Rep.","GINI coefficient, most recent value",48.9
"Congo, Rep.",Life expectancy from birth (WB),64.63
"Congo, Rep.","GDP per capita in PPP, international current dollars (World Bank)",5442.71
"Congo, Rep.","Research and development as percentage of GDP, most recent value",N/A
Costa Rica,"Mortality rate per live 1000 births, most recent value",7.8
Costa Rica,"GINI coefficient, most recent value",48.7
Costa Rica,Life expectancy from birth (WB),79.83
Costa Rica,"Number of researchers working in R & D per million, most recent value",572.98
Costa Rica,"GDP per capita in PPP, international current dollars (World Bank)",17073.52
Costa Rica,"Research and development as percentage of GDP, most recent value",0.57
Croatia,"Mortality rate per live 1000 births, most recent value",3.9
Croatia,"GINI coefficient, most recent value",31.1
Croatia,Life expectancy from birth (WB),78.02
Croatia,"Number of researchers working in R & D per million, most recent value",1793.15
Croatia,"GDP per capita in PPP, international current dollars (World Bank)",26288.04
Croatia,"Research and development as percentage of GDP, most recent value",0.86
Cyprus,"Mortality rate per live 1000 births, most recent value",2.1
Cyprus,"GINI coefficient, most recent value",34
Cyprus,Life expectancy from birth (WB),80.51
Cyprus,"Number of researchers working in R & D per million, most recent value",1000.23
Cyprus,"GDP per capita in PPP, international current dollars (World Bank)",34503.47
Cyprus,"Research and development as percentage of GDP, most recent value",0.5
Czech Republic,"Mortality rate per live 1000 births, most recent value",2.6
Czech Republic,"GINI coefficient, most recent value",25.9
Czech Republic,Life expectancy from birth (WB),78.33
Czech Republic,"Number of researchers working in R & D per million, most recent value",3518.82
Czech Republic,"GDP per capita in PPP, international current dollars (World Bank)",36327.25
Czech Republic,"Research and development as percentage of GDP, most recent value",1.68
Denmark,"Mortality rate per live 1000 births, most recent value",3.7
Denmark,"GINI coefficient, most recent value",28.2
Denmark,Life expectancy from birth (WB),80.7
Denmark,"Number of researchers working in R & D per million, most recent value",7514.7
Denmark,"GDP per capita in PPP, international current dollars (World Bank)",51364.14
Denmark,"Research and development as percentage of GDP, most recent value",2.87
Dominican Republic,"Mortality rate per live 1000 births, most recent value",25
Dominican Republic,"Number of researchers working in R & D per million, most recent value",N/A
Dominican Republic,"GINI coefficient, most recent value",45.3
Dominican Republic,Life expectancy from birth (WB),73.86
Dominican Republic,"GDP per capita in PPP, international current dollars (World Bank)",16029.62
Dominican Republic,"Research and development as percentage of GDP, most recent value",N/A
Ecuador,"Mortality rate per live 1000 births, most recent value",12.5
Ecuador,"GINI coefficient, most recent value",45
Ecuador,Life expectancy from birth (WB),76.33
Ecuador,"Number of researchers working in R & D per million, most recent value",400.71
Ecuador,"GDP per capita in PPP, international current dollars (World Bank)",11587.45
Ecuador,"Research and development as percentage of GDP, most recent value",0.44
Egypt,"Mortality rate per live 1000 births, most recent value",18.8
Egypt,"GINI coefficient, most recent value",31.8
Egypt,Life expectancy from birth (WB),71.48
Egypt,"Number of researchers working in R & D per million, most recent value",680.3
Egypt,"GDP per capita in PPP, international current dollars (World Bank)",11583.79
Egypt,"Research and development as percentage of GDP, most recent value",0.71
El Salvador,"Mortality rate per live 1000 births, most recent value",12.5
El Salvador,"GINI coefficient, most recent value",40
El Salvador,"Number of researchers working in R & D per million, most recent value",63.37
El Salvador,Life expectancy from birth (WB),73.51
El Salvador,"GDP per capita in PPP, international current dollars (World Bank)",8006.06
El Salvador,"Research and development as percentage of GDP, most recent value",0.13
Estonia,"Mortality rate per live 1000 births, most recent value",2.1
Estonia,"GINI coefficient, most recent value",32.7
Estonia,Life expectancy from birth (WB),77.74
Estonia,"Number of researchers working in R & D per million, most recent value",3305.29
Estonia,"GDP per capita in PPP, international current dollars (World Bank)",31742.03
Estonia,"Research and development as percentage of GDP, most recent value",1.28
Ethiopia,"Mortality rate per live 1000 births, most recent value",41
Ethiopia,"GINI coefficient, most recent value",39.1
Ethiopia,"Number of researchers working in R & D per million, most recent value",44.97
Ethiopia,Life expectancy from birth (WB),65.47
Ethiopia,"GDP per capita in PPP, international current dollars (World Bank)",1899.21
Ethiopia,"Research and development as percentage of GDP, most recent value",0.6
Finland,"Mortality rate per live 1000 births, most recent value",1.9
Finland,"GINI coefficient, most recent value",27.1
Finland,Life expectancy from birth (WB),81.78
Finland,"Number of researchers working in R & D per million, most recent value",6525.01
Finland,"GDP per capita in PPP, international current dollars (World Bank)",44865.84
Finland,"Research and development as percentage of GDP, most recent value",2.75
France,"Mortality rate per live 1000 births, most recent value",3.5
France,"GINI coefficient, most recent value",32.7
France,Life expectancy from birth (WB),82.27
France,"Number of researchers working in R & D per million, most recent value",4307.22
France,"GDP per capita in PPP, international current dollars (World Bank)",42850.39
France,"Research and development as percentage of GDP, most recent value",2.25
Gabon,"Mortality rate per live 1000 births, most recent value",35.1
Gabon,"GINI coefficient, most recent value",38
Gabon,"Number of researchers working in R & D per million, most recent value",N/A
Gabon,Life expectancy from birth (WB),66.11
Gabon,"GDP per capita in PPP, international current dollars (World Bank)",18074.94
Gabon,"Research and development as percentage of GDP, most recent value",N/A
Georgia,"Mortality rate per live 1000 births, most recent value",9.69
Georgia,"GINI coefficient, most recent value",36.5
Georgia,Life expectancy from birth (WB),73.26
Georgia,"Number of researchers working in R & D per million, most recent value",1336.56
Georgia,"GDP per capita in PPP, international current dollars (World Bank)",10683.1
Georgia,"Research and development as percentage of GDP, most recent value",0.3
Germany,"Mortality rate per live 1000 births, most recent value",3.1
Germany,"GINI coefficient, most recent value",31.7
Germany,Life expectancy from birth (WB),80.64
Germany,"Number of researchers working in R & D per million, most recent value",4893.15
Germany,"GDP per capita in PPP, international current dollars (World Bank)",50638.89
Germany,"Research and development as percentage of GDP, most recent value",2.94
Ghana,"Mortality rate per live 1000 births, most recent value",35.7
Ghana,"Number of researchers working in R & D per million, most recent value",38.37
Ghana,"GINI coefficient, most recent value",42.4
Ghana,Life expectancy from birth (WB),62.74
Ghana,"GDP per capita in PPP, international current dollars (World Bank)",4492.32
Ghana,"Research and development as percentage of GDP, most recent value",0.38
Greece,"Mortality rate per live 1000 births, most recent value",4.3
Greece,"GINI coefficient, most recent value",36
Greece,Life expectancy from birth (WB),81.04
Greece,"Number of researchers working in R & D per million, most recent value",2629.09
Greece,"GDP per capita in PPP, international current dollars (World Bank)",27601.9
Greece,"Research and development as percentage of GDP, most recent value",1.01
Guatemala,"Number of researchers working in R & D per million, most recent value",22.15
Guatemala,"Mortality rate per live 1000 births, most recent value",23.1
Guatemala,"GINI coefficient, most recent value",48.3
Guatemala,Life expectancy from birth (WB),73.41
Guatemala,"GDP per capita in PPP, international current dollars (World Bank)",8150.25
Guatemala,"Research and development as percentage of GDP, most recent value",0.03
Guinea,"GINI coefficient, most recent value",33.7
Guinea,"Number of researchers working in R & D per million, most recent value",N/A
Guinea,"Mortality rate per live 1000 births, most recent value",56.4
Guinea,Life expectancy from birth (WB),60.02
Guinea,"GDP per capita in PPP, international current dollars (World Bank)",2242.26
Guinea,"Research and development as percentage of GDP, most recent value",N/A
Haiti,"GINI coefficient, most recent value",41.1
Haiti,"Number of researchers working in R & D per million, most recent value",N/A
Haiti,"Mortality rate per live 1000 births, most recent value",53.9
Haiti,Life expectancy from birth (WB),63.33
Haiti,"GDP per capita in PPP, international current dollars (World Bank)",1814.94
Haiti,"Research and development as percentage of GDP, most recent value",N/A
Honduras,"Mortality rate per live 1000 births, most recent value",15.6
Honduras,"Number of researchers working in R & D per million, most recent value",22.77
Honduras,"GINI coefficient, most recent value",50
Honduras,Life expectancy from birth (WB),73.58
Honduras,"GDP per capita in PPP, international current dollars (World Bank)",4986.23
Honduras,"Research and development as percentage of GDP, most recent value",0.02
Hungary,"Mortality rate per live 1000 births, most recent value",3.8
Hungary,"GINI coefficient, most recent value",30.4
Hungary,Life expectancy from birth (WB),75.57
Hungary,"Number of researchers working in R & D per million, most recent value",2645.67
Hungary,"GDP per capita in PPP, international current dollars (World Bank)",28107.89
Hungary,"Research and development as percentage of GDP, most recent value",1.21
Iceland,"Mortality rate per live 1000 births, most recent value",1.6
Iceland,"GINI coefficient, most recent value",27.8
Iceland,Life expectancy from birth (WB),82.47
Iceland,"Number of researchers working in R & D per million, most recent value",6635.11
Iceland,"GDP per capita in PPP, international current dollars (World Bank)",53152.7
Iceland,"Research and development as percentage of GDP, most recent value",2.1
India,"GINI coefficient, most recent value",35.1
India,"Mortality rate per live 1000 births, most recent value",32
India,Life expectancy from birth (WB),68.56
India,"Number of researchers working in R & D per million, most recent value",216.18
India,"GDP per capita in PPP, international current dollars (World Bank)",7059.32
India,"Research and development as percentage of GDP, most recent value",0.62
Indonesia,"Mortality rate per live 1000 births, most recent value",21.4
Indonesia,"GINI coefficient, most recent value",39.5
Indonesia,Life expectancy from birth (WB),69.19
Indonesia,"Number of researchers working in R & D per million, most recent value",89.2
Indonesia,"GDP per capita in PPP, international current dollars (World Bank)",12283.62
Indonesia,"Research and development as percentage of GDP, most recent value",0.08
Iran,"Mortality rate per live 1000 births, most recent value",12.8
Iran,"GINI coefficient, most recent value",38.8
Iran,Life expectancy from birth (WB),75.95
Iran,"Number of researchers working in R & D per million, most recent value",671.02
Iran,"GDP per capita in PPP, international current dollars (World Bank)",20840.51
Iran,"Research and development as percentage of GDP, most recent value",0.25
Iraq,"Mortality rate per live 1000 births, most recent value",25.3
Iraq,"GINI coefficient, most recent value",29.5
Iraq,"Number of researchers working in R & D per million, most recent value",63.73
Iraq,Life expectancy from birth (WB),69.86
Iraq,"GDP per capita in PPP, international current dollars (World Bank)",16899.2
Iraq,"Research and development as percentage of GDP, most recent value",0.04
Ireland,"GINI coefficient, most recent value",31.8
Ireland,"Mortality rate per live 1000 births, most recent value",3
Ireland,Life expectancy from birth (WB),81.61
Ireland,"Number of researchers working in R & D per million, most recent value",5563.39
Ireland,"GDP per capita in PPP, international current dollars (World Bank)",75648.23
Ireland,"Research and development as percentage of GDP, most recent value",1.18
Israel,"Mortality rate per live 1000 births, most recent value",2.9
Israel,"GINI coefficient, most recent value",41.4
Israel,Life expectancy from birth (WB),82.41
Israel,"Number of researchers working in R & D per million, most recent value",8250.47
Israel,"GDP per capita in PPP, international current dollars (World Bank)",38261.68
Israel,"Research and development as percentage of GDP, most recent value",4.25
Italy,"Mortality rate per live 1000 births, most recent value",2.9
Italy,"GINI coefficient, most recent value",35.4
Italy,Life expectancy from birth (WB),82.54
Italy,"Number of researchers working in R & D per million, most recent value",2131.48
Italy,"GDP per capita in PPP, international current dollars (World Bank)",39426.94
Italy,"Research and development as percentage of GDP, most recent value",1.29
Ivory Coast,"GINI coefficient, most recent value",41.5
Ivory Coast,Life expectancy from birth (WB),53.58
Ivory Coast,"Mortality rate per live 1000 births, most recent value",64.2
Ivory Coast,"Number of researchers working in R & D per million, most recent value",69.21
Ivory Coast,"GDP per capita in PPP, international current dollars (World Bank)",3936.4
Ivory Coast,"Research and development as percentage of GDP, most recent value",N/A
Japan,"Mortality rate per live 1000 births, most recent value",1.9
Japan,"GINI coefficient, most recent value",32.1
Japan,Life expectancy from birth (WB),83.98
Japan,"Number of researchers working in R & D per million, most recent value",5209.97
Japan,"GDP per capita in PPP, international current dollars (World Bank)",43278.99
Japan,"Research and development as percentage of GDP, most recent value",3.15
Jordan,"Mortality rate per live 1000 births, most recent value",14.6
Jordan,"GINI coefficient, most recent value",33.7
Jordan,Life expectancy from birth (WB),74.33
Jordan,"Number of researchers working in R & D per million, most recent value",598.57
Jordan,"GDP per capita in PPP, international current dollars (World Bank)",9153.35
Jordan,"Research and development as percentage of GDP, most recent value",0.33
Kazakhstan,"Mortality rate per live 1000 births, most recent value",8.9
Kazakhstan,"GINI coefficient, most recent value",26.9
Kazakhstan,Life expectancy from birth (WB),72.3
Kazakhstan,"Number of researchers working in R & D per million, most recent value",687.64
Kazakhstan,"GDP per capita in PPP, international current dollars (World Bank)",26434.93
Kazakhstan,"Research and development as percentage of GDP, most recent value",0.14
Kenya,"Mortality rate per live 1000 births, most recent value",33.6
Kenya,"GINI coefficient, most recent value",40.8
Kenya,Life expectancy from birth (WB),67.03
Kenya,"Number of researchers working in R & D per million, most recent value",225.03
Kenya,"GDP per capita in PPP, international current dollars (World Bank)",3285.43
Kenya,"Research and development as percentage of GDP, most recent value",0.79
Kuwait,"Mortality rate per live 1000 births, most recent value",6.9
Kuwait,"GINI coefficient, most recent value",N/A
Kuwait,Life expectancy from birth (WB),74.69
Kuwait,"Number of researchers working in R & D per million, most recent value",385.69
Kuwait,"GDP per capita in PPP, international current dollars (World Bank)",71943.01
Kuwait,"Research and development as percentage of GDP, most recent value",0.43
Kyrgyzstan,"Mortality rate per live 1000 births, most recent value",17.8
Kyrgyzstan,"GINI coefficient, most recent value",26.8
Kyrgyzstan,"Number of researchers working in R & D per million, most recent value",N/A
Kyrgyzstan,Life expectancy from birth (WB),70.95
Kyrgyzstan,"GDP per capita in PPP, international current dollars (World Bank)",3725.54
Kyrgyzstan,"Research and development as percentage of GDP, most recent value",N/A
Laos,"Number of researchers working in R & D per million, most recent value",15.83
Laos,"GINI coefficient, most recent value",36.4
Laos,"Mortality rate per live 1000 births, most recent value",48.6
Laos,Life expectancy from birth (WB),66.68
Laos,"GDP per capita in PPP, international current dollars (World Bank)",7023.37
Laos,"Research and development as percentage of GDP, most recent value",0.04
Latvia,"Mortality rate per live 1000 births, most recent value",3.6
Latvia,"GINI coefficient, most recent value",34.2
Latvia,Life expectancy from birth (WB),74.53
Latvia,"Number of researchers working in R & D per million, most recent value",1599.57
Latvia,"GDP per capita in PPP, international current dollars (World Bank)",28198.83
Latvia,"Research and development as percentage of GDP, most recent value",0.44
Lebanon,"Mortality rate per live 1000 births, most recent value",6.7
Lebanon,"GINI coefficient, most recent value",31.8
Lebanon,"Number of researchers working in R & D per million, most recent value",N/A
Lebanon,Life expectancy from birth (WB),79.58
Lebanon,"GDP per capita in PPP, international current dollars (World Bank)",14481.96
Lebanon,"Research and development as percentage of GDP, most recent value",N/A
Liberia,"GINI coefficient, most recent value",33.2
Liberia,"Mortality rate per live 1000 births, most recent value",55.9
Liberia,Life expectancy from birth (WB),62.51
Liberia,"Number of researchers working in R & D per million, most recent value",N/A
Liberia,"GDP per capita in PPP, international current dollars (World Bank)",1282.58
Liberia,"Research and development as percentage of GDP, most recent value",N/A
Libya,"Mortality rate per live 1000 births, most recent value",10.6
Libya,"GINI coefficient, most recent value",N/A
Libya,"Number of researchers working in R & D per million, most recent value",N/A
Libya,Life expectancy from birth (WB),71.93
Libya,"GDP per capita in PPP, international current dollars (World Bank)",19631.3
Libya,"Research and development as percentage of GDP, most recent value",N/A
Lithuania,"Mortality rate per live 1000 births, most recent value",3.4
Lithuania,"GINI coefficient, most recent value",37.4
Lithuania,Life expectancy from birth (WB),74.32
Lithuania,"Number of researchers working in R & D per million, most recent value",2931.66
Lithuania,"GDP per capita in PPP, international current dollars (World Bank)",32997.54
Lithuania,"Research and development as percentage of GDP, most recent value",0.85
Luxembourg,"Mortality rate per live 1000 births, most recent value",2.1
Luxembourg,"GINI coefficient, most recent value",33.8
Luxembourg,Life expectancy from birth (WB),82.29
Luxembourg,"Number of researchers working in R & D per million, most recent value",4350.87
Luxembourg,"GDP per capita in PPP, international current dollars (World Bank)",103744.76
Luxembourg,"Research and development as percentage of GDP, most recent value",1.24
Macedonia,"GINI coefficient, most recent value",35.6
Macedonia,"Mortality rate per live 1000 births, most recent value",12
Macedonia,Life expectancy from birth (WB),75.7
Macedonia,"Number of researchers working in R & D per million, most recent value",854.14
Macedonia,"GDP per capita in PPP, international current dollars (World Bank)",15290.31
Macedonia,"Research and development as percentage of GDP, most recent value",0.43
Madagascar,"Number of researchers working in R & D per million, most recent value",24.7
Madagascar,"Mortality rate per live 1000 births, most recent value",32.7
Madagascar,"GINI coefficient, most recent value",42.6
Madagascar,Life expectancy from birth (WB),65.93
Madagascar,"GDP per capita in PPP, international current dollars (World Bank)",1555.04
Madagascar,"Research and development as percentage of GDP, most recent value",0.01
Malawi,"Mortality rate per live 1000 births, most recent value",38.5
Malawi,"GINI coefficient, most recent value",45.5
Malawi,"Number of researchers working in R & D per million, most recent value",48.27
Malawi,Life expectancy from birth (WB),63.22
Malawi,"GDP per capita in PPP, international current dollars (World Bank)",1202.2
Malawi,"Research and development as percentage of GDP, most recent value",N/A
Malaysia,"Mortality rate per live 1000 births, most recent value",6.7
Malaysia,"GINI coefficient, most recent value",41
Malaysia,Life expectancy from birth (WB),75.3
Malaysia,"Number of researchers working in R & D per million, most recent value",2273.99
Malaysia,"GDP per capita in PPP, international current dollars (World Bank)",29448.95
Malaysia,"Research and development as percentage of GDP, most recent value",1.3
Mali,"Number of researchers working in R & D per million, most recent value",30.79
Mali,Life expectancy from birth (WB),57.97
Mali,"Mortality rate per live 1000 births, most recent value",65.8
Mali,"GINI coefficient, most recent value",33
Mali,"GDP per capita in PPP, international current dollars (World Bank)",2213.52
Mali,"Research and development as percentage of GDP, most recent value",0.31
Malta,"Mortality rate per live 1000 births, most recent value",5.6
Malta,"GINI coefficient, most recent value",29.4
Malta,Life expectancy from birth (WB),81.8
Malta,"Number of researchers working in R & D per million, most recent value",1930.77
Malta,"GDP per capita in PPP, international current dollars (World Bank)",41034.14
Malta,"Research and development as percentage of GDP, most recent value",0.61
Mauritania,"GINI coefficient, most recent value",32.6
Mauritania,"Mortality rate per live 1000 births, most recent value",53.3
Mauritania,Life expectancy from birth (WB),63.24
Mauritania,"Number of researchers working in R & D per million, most recent value",N/A
Mauritania,"GDP per capita in PPP, international current dollars (World Bank)",3949.68
Mauritania,"Research and development as percentage of GDP, most recent value",N/A
Mauritius,"Mortality rate per live 1000 births, most recent value",11.6
Mauritius,"GINI coefficient, most recent value",35.8
Mauritius,Life expectancy from birth (WB),74.39
Mauritius,"Number of researchers working in R & D per million, most recent value",181.83
Mauritius,"GDP per capita in PPP, international current dollars (World Bank)",22308.81
Mauritius,"Research and development as percentage of GDP, most recent value",0.18
Mexico,"Mortality rate per live 1000 births, most recent value",11.5
Mexico,"GINI coefficient, most recent value",43.4
Mexico,Life expectancy from birth (WB),77.12
Mexico,"Number of researchers working in R & D per million, most recent value",244.18
Mexico,"GDP per capita in PPP, international current dollars (World Bank)",18273.48
Mexico,"Research and development as percentage of GDP, most recent value",0.5
Moldova,"Mortality rate per live 1000 births, most recent value",13.3
Moldova,"GINI coefficient, most recent value",26.3
Moldova,Life expectancy from birth (WB),71.61
Moldova,"Number of researchers working in R & D per million, most recent value",725.74
Moldova,"GDP per capita in PPP, international current dollars (World Bank)",5697.83
Moldova,"Research and development as percentage of GDP, most recent value",0.33
Mongolia,"Mortality rate per live 1000 births, most recent value",14.8
Mongolia,"GINI coefficient, most recent value",32.3
Mongolia,Life expectancy from birth (WB),69.29
Mongolia,"Number of researchers working in R & D per million, most recent value",N/A
